新闻频道,#genre#
SKY SPORTS CRICKET UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7343/index.m3u8
SKY SPORTS GOLF UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7344/index.m3u8
Arena Sport 1 HD HR,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7329/index.m3u8
Arena Sport 2 HD HR,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7330/index.m3u8
Arena Sport 3 HD HR,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7331/index.m3u8
Arena Sport 4 HD HR,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7332/index.m3u8
Arena Sport 5 HD HR,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7333/index.m3u8
Arena Sport 6 HD HR,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7334/index.m3u8
Sky Sports Action FHD UK,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7345/index.m3u8
Sky Sport News HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/2477/index.m3u8
Sky Sport 1 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/2478/index.m3u8
Sky Sport 2 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/2479/index.m3u8
Sky Sport Bundesliga 1 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/2480/index.m3u8
Sky Sport Austria 1 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/2492/index.m3u8
Sky Sport Bundesliga 2 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7234/index.m3u8
Sky Sport Bundesliga 3 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7235/index.m3u8
Sky Sport Bundesliga 4 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7236/index.m3u8
Sky Sport Bundesliga 3 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7237/index.m3u8
Sky Sport Bundesliga 6 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7238/index.m3u8
Sky Sport Bundesliga 7 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7239/index.m3u8
Sky Sport Bundesliga 8 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7240/index.m3u8
Sky Sport Bundesliga 9 HD DE,http://nzgksbj3.akciatv.ru/iptv/RCHGZA3YE4MVAQ/7241/index.m3u8
咪咕频道,#genre#
CCTV1,http://117.148.179.155/PLTV/88888888/224/3221231468/index.m3u8
CCTV1,http://117.148.179.155/PLTV/88888888/224/3221231471/index.m3u8
CCTV2,http://117.148.179.156/PLTV/88888888/224/3221232362/index.m3u8
CCTV2,http://117.148.179.147/PLTV/88888888/224/3221231678/index.m3u8
CCTV3,http://117.148.179.183/PLTV/88888888/224/3221231682/index.m3u8
CCTV3,http://117.148.179.140/PLTV/88888888/224/3221231528/index.m3u8
