新闻频道,#genre#
CCTV12-社会与法,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000322/index.m3u8?IASHttpSessionId=OTT
CCTV13-新闻,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000345/index.m3u8?IASHttpSessionId=OTT
CCTV14-少儿,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000323/index.m3u8?IASHttpSessionId=OTT
CCTV15-音乐,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000346/index.m3u8?IASHttpSessionId=OTT
CCTV17-农业农村,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000303/index.m3u8?IASHttpSessionId=OTT
CCTV4-国际欧洲,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000350/index.m3u8?IASHttpSessionId=OTT
CCTV4-中文国际美洲,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000351/index.m3u8?IASHttpSessionId=OTT
CGTN 记录,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000353/index.m3u8?IASHttpSessionId=OTT
CGTN,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000352/index.m3u8?IASHttpSessionId=OTT
CGTN ESPANOL,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000354/index.m3u8?IASHttpSessionId=OTT
CGTN FRANCAIS,http://120.221.40.69:6610/shandong_cabletv.live.zte.com/223.99.253.7:8081/00/SNM/CHANNEL00000355/index.m3u8?IASHttpSessionId=OTT
